CD_MUNICIPIO;NR_ZONA;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_TERCEIRA_VIA
2550;58;5660;9200;0.0
98396;23;161;654;0.0
2151;14;626;1385;0.0
2313;46;48;520;0.0
2550;70;4522;3286;0.0
2020;45;138;120;0.0
2151;14;339;1102;0.0
2410;3;1307;2672;0.0
2054;42;51;353;0.0
2518;12;170;1279;0.0
98450;27;86;309;0.0
2810;9;555;418;0.0
2470;50;54;235;0.0
2933;6;69;322;0.0
2879;3;88;608;0.0
2658;35;125;562;0.0
2550;70;5064;9195;0.0
2054;42;36;266;0.0
2658;35;76;861;0.0
2453;48;40;187;0.0
2011;34;60;397;0.0
2291;11;275;220;0.0
2399;45;134;124;0.0
2976;5;75;309;0.0
2119;26;192;968;0.0
2291;11;270;1065;0.0
2470;50;56;356;0.0
2550;31;4174;4822;0.0
2038;33;94;275;0.0
2119;26;103;985;0.0
2550;63;5340;3577;0.0
2577;16;347;203;0.0
2879;3;116;83;0.0
2798;38;60;509;0.0
2739;47;89;159;0.0
2070;35;211;918;0.0
2798;38;72;121;0.0
2330;10;138;735;0.0
2550;59;4125;3528;0.0
2119;26;66;699;0.0
2550;31;3211;2464;0.0
2275;7;115;575;0.0
2950;54;54;96;0.0
2631;43;64;399;0.0
2755;22;128;198;0.0
2577;16;289;706;0.0
2895;60;35;376;0.0
2518;12;225;749;0.0
2550;37;3615;2752;0.0
98434;68;271;221;0.0
2550;32;3761;3312;0.0
2712;44;55;317;0.0
2291;11;118;992;0.0
2259;8;1022;1999;0.0
2690;4;1881;2510;0.0
2046;31;176;146;0.0
2550;59;4478;3167;0.0
2550;65;5003;3154;0.0
2054;42;42;247;0.0
2097;18;89;483;0.0
98515;47;90;473;0.0
2550;70;6113;6464;0.0
2593;49;33;305;0.0
2674;29;122;582;0.0
98515;47;53;512;0.0
2259;8;602;985;0.0
2437;24;52;305;0.0
2372;30;45;296;0.0
2550;1;3275;2698;0.0
2631;43;74;573;0.0
2755;22;68;984;0.0
2020;45;128;612;0.0
2135;20;92;960;0.0
2836;19;191;1179;0.0
98434;68;408;795;0.0
2356;17;598;1530;0.0
98370;69;42;75;0.0
2674;29;99;135;0.0
2550;2;2636;4091;0.0
2690;4;1011;2708;0.0
2151;14;511;838;0.0
2615;5;399;998;0.0
2194;13;58;377;0.0
2399;45;96;478;0.0
2534;6;818;3119;0.0
2593;49;53;67;0.0
2615;5;294;230;0.0
98434;68;238;439;0.0
2771;24;114;332;0.0
98396;23;68;711;0.0
2453;48;30;207;0.0
2518;12;174;1162;0.0
2810;9;402;1765;0.0
2550;37;4492;7903;0.0
2151;14;572;395;0.0
98477;36;517;421;0.0
2810;9;336;844;0.0
2550;63;5089;4110;0.0
2992;6;55;280;0.0
2399;45;107;745;0.0
2550;31;2832;2771;0.0
2470;50;46;296;0.0
2003;67;286;229;0.0
2151;14;307;1484;0.0
2496;41;141;590;0.0
6106;11;40;107;0.0
6025;12;123;601;0.0
6084;11;98;131;0.0
6114;12;68;214;0.0
6033;1;78;39;0.0
6025;12;98;121;0.0
6017;1;21;37;0.0
6130;7;502;1094;0.0
6106;11;23;155;0.0
6076;5;204;731;0.0
6092;4;407;167;0.0
6009;1;5;8;0.0
6092;4;575;1005;0.0
6130;7;309;415;0.0
6076;5;80;121;0.0
